Unit: microseconds
                  expr     min       lq      mean   median       uq     max neval
    factorial_loop(10)   3.695   4.7555   5.71321   5.3405   6.0690  11.596   100
  factorial_reduce(10)  24.933  28.2580  33.48747  32.7830  36.2590  61.212   100
    factorial_func(10)   9.360  10.5930  12.58276  11.8535  13.6425  22.660   100
     factorial_mem(10)   8.785  10.9675  13.46194  12.4000  14.8285  28.744   100
    factorial_loop(50)  14.074  15.9470  19.23562  18.1185  21.2455  37.889   100
  factorial_reduce(50)  80.626  92.9250 109.97893 105.6995 118.3190 245.326   100
    factorial_func(50)  43.564  51.6255  59.51463  56.6335  64.5515 175.786   100
     factorial_mem(50)   8.447  10.8480  14.37842  11.7880  14.0365  82.096   100
   factorial_loop(100)  27.808  32.9940  37.18317  36.1870  40.3910  62.755   100
 factorial_reduce(100) 152.782 168.9835 199.45265 185.5275 215.0195 465.250   100
   factorial_func(100)  92.912 100.8420 117.42278 114.5225 130.4700 210.146   100
    factorial_mem(100)   8.405  10.6000  13.30892  11.5410  14.0280  50.833   100
